chr_name	hg38_start	hg38_end	gene	region	regulatory_comment
chr6	158395839	158398152	EZR	TSS	NA
chr7	5489035	5491594	ACTB	TSS	active_promoter
chr8	11632705	11640300	BLK	TSS	strong_enhancer
chr8	126723861	126724936	MYC	TSS	active_promoter
chr9	37023402	37027669	PAX5	intron-1	intronic
chr9	37029855	37037160	PAX5	TSS-1	active_promoter
chr9	37192086	37207555	ZCCHC7	intron-4	intronic
chr9	37275958	37306158	ZCCHC7	intron-2	intronic
chr9	37312661	37328266	ZCCHC7	intron-3	intronic
chr9	37329712	37340404	ZCCHC7	intron-1	intronic
chr9	37369215	37372166	PAX5	distal-enhancer-1	enhancer
chr9	37382273	37385860	PAX5	distal-enhancer-2	enhancer
chr9	37395938	37409245	PAX5	distal-enhancer-3	enhancer
chr9	37423016	37425285	GRHPR	TSS	active_promoter
chr11	9552152	9556408	WEE1	intronic	NA
chr11	35113675	35121154	CD44	TSS	active_promoter
chr11	60688439	60690364	MS4A1	TSS	active_promoter
chr11	65655427	65657438	NEAT1	ncRNA	enhancer
chr11	65730295	65733417	MALAT1	ncRNA	enhancer
chr11	102446708	102448615	BIRC3	TSS	active_promoter
chr11	111506628	111508774	POU2AF1	TSS	active_promoter
chr11	128599984	128605941	ETS1	introns	enhancer
chr11	128648702	128654373	ETS1	TSS-2	active_promoter
chr12	11490133	11507100	ETV6	TSS	strong_enhancer
chr12	24898177	24907701	LRMP	TSS	active_promoter
chr12	91750446	91752045	BTG1	TSS	active_promoter
chr12	112616702	112621937	DTX1	TSS	NA
chr12	121581101	121588225	BCL7A	TSS	poised_promoter
chr13	45809008	45815072	C13orf18	TSS	active_promoter
chr14	68324414	68326305	ZFP36L1	TSS	active_promoter
chr14	94007904	94009866	SERPINA9	TSS	NA
chr14	95246861	95247692	TCL1A	TSS	active_promoter
chr15	59074593	59086754	MYO1E	TSS	NA
chr16	10783081	10787751	CIITA	TSS	active_promoter-strong_enhancer
chr16	11159798	11162293	SOCS1	intron-1	enhancer
chr16	27300253	27306781	IL4R	TSS	active_promoter
chr16	85864706	85866765	IRF8	TSS	active_promoter
chr17	3791028	3792984	P2RX5	TSS	active_promoter
chr17	60253010	60255418	TSPOAP1	intergenic	enhancer
chr17	79432570	79448792	SEPT9	intronic-1	active_promoter
chr17	79451602	79459013	SEPT9	intronic-2	active_promoter
chr17	79461039	79479307	SEPT9	intronic-3	active_promoter
chr18	65462515	65479634	BCL2	intronic	strong_enhancer
chr18	65648259	65653873	BCL2	TSS	active_promoter
chr19	10118790	10120412	S1PR2	TSS	active_promoter
chr19	16213356	16217389	KLF2	TSS	intronic
chr19	19058017	19059823	MEF2B	TSS	active_promoter
chr20	48883330	48892818	NCOA3	TSS	active_promoter
chr20	51887406	51907401	PTPN1	TSS	active_promoter
chr21	24189747	24193026	MIR155HG	TSS	active_promoter
chr22	22544949	22545247	IGLL5	TSS	NA
chrX	12957070	12958273	TMSB4X	intronic	active_promoter
chrX	49059948	49061447	PIM2	TSS	active_promoter
