Gene.symbol	coef	Assay	ensembl_gene_id	gene_id	hgnc_symbol
FAM159A	-1.78426	PMBL	ENSG00000182183	ENSG00000182183.15	SHISAL2A 
PRDX2	-1.281908	PMBL	ENSG00000167815	ENSG00000167815.12	PRDX2
BANK1	-0.7965865	PMBL	ENSG00000153064	ENSG00000153064.12	BANK1
MAL	0.5436644	PMBL	ENSG00000172005	ENSG00000172005.11	MAL
HOMER2	0.8927702	PMBL	ENSG00000103942	ENSG00000103942.13	HOMER2
CCL17	0.9797191	PMBL	ENSG00000102970	ENSG00000102970.11	CCL17
FSCN1	1.007271	PMBL	ENSG00000075618	ENSG00000075618.18	FSCN1
TFPI2	1.058542	PMBL	ENSG00000105825	ENSG00000105825.14	TFPI2
TMOD1	1.145637	PMBL	ENSG00000136842	ENSG00000136842.14	TMOD1
SLAMF1	1.179237	PMBL	ENSG00000117090	ENSG00000117090.15	SLAMF1
RCL1	1.318766	PMBL	ENSG00000120158	ENSG00000120158.12	RCL1
PRR6	1.328304	PMBL	ENSG00000166582	ENSG00000166582.10	CENPV 
IL13RA1	1.633525	PMBL	ENSG00000131724	ENSG00000131724.11	IL13RA1
MST1R	1.693302	PMBL	ENSG00000164078	ENSG00000164078.13	MST1R
LIMA1	1.801519	PMBL	ENSG00000050405	ENSG00000050405.13	LIMA1
TRAF1	1.9763	PMBL	ENSG00000056558	ENSG00000056558.11	TRAF1
PDCD1LG2	1.983369	PMBL	ENSG00000197646	ENSG00000197646.8	PDCD1LG2
PTGIR	2.057025	PMBL	ENSG00000160013	ENSG00000160013.9	PTGIR
NFIL3	2.059788	PMBL	ENSG00000165030	ENSG00000165030.4	NFIL3
BATF3	2.442121	PMBL	ENSG00000123685	ENSG00000123685.9	BATF3
RHOF	2.476694	PMBL	ENSG00000139725	ENSG00000139725.8	RHOF
SNX11	2.786555	PMBL	ENSG00000002919	ENSG00000002919.14	SNX11
QSOX1	2.847589	PMBL	ENSG00000116260	ENSG00000116260.17	QSOX1
AUH	3.155759	PMBL	ENSG00000148090	ENSG00000148090.11	AUH
IFIH1	3.35422	PMBL	ENSG00000115267	ENSG00000115267.8	IFIH1
MOBKL2C	3.365355	PMBL	ENSG00000142961	ENSG00000142961.14	MOB3C
NECAP2	6.603424	PMBL	ENSG00000157191	ENSG00000157191.20	NECAP2
DNAJB12	NA	housekeeping	ENSG00000148719	ENSG00000148719.15	DNAJB12
GIT2	NA	housekeeping	ENSG00000139436	ENSG00000139436.21	GIT2
GSK3B	NA	housekeeping	ENSG00000082701	ENSG00000082701.15	GSK3B
IK	NA	housekeeping	ENSG00000113141	ENSG00000113141.18	IK
ISY1	NA	housekeeping	ENSG00000240682	ENSG00000240682.9	ISY1
OPA1	NA	housekeeping	ENSG00000198836	ENSG00000198836.10	OPA1
PHF23	NA	housekeeping	ENSG00000040633	ENSG00000040633.13	PHF23
R3HDM1	NA	housekeeping	ENSG00000048991	ENSG00000048991.16	R3HDM1
TRIM56	NA	housekeeping	ENSG00000169871	ENSG00000169871.13	TRIM56
UBXN4	NA	housekeeping	ENSG00000144224	ENSG00000144224.17	UBXN4
VRK3	NA	housekeeping	ENSG00000105053	ENSG00000105053.11	VRK3
WAC	NA	housekeeping	ENSG00000095787	ENSG00000095787.23	WAC
WDR55	NA	housekeeping	ENSG00000120314	ENSG00000120314.18	WDR55
