ensembl_gene_id	Gene	earliest_support_BL	curated	aSHM_target_DLBCL	Curator_comments	Enrichment_DLBCL_BL	frequency_BL_Thomas	frequency_BL_Panea	n_BL_Panea_original	frequency_BL_Panea_original
ENSG00000275379	HIST1H3I	31558468	FALSE	TRUE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0	2	NA	NA
ENSG00000197153	HIST1H3J	31558468	FALSE	TRUE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	1.7	5	13	12.9
ENSG00000197238	HIST1H4J	31558468	FALSE	TRUE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.4	NA	NA	NA
ENSG00000206503	HLA-A	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.3	NA	NA	NA
ENSG00000234745	HLA-B	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	3.8	5	NA	NA
ENSG00000242574	HLA-DMB	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	NA	NA	NA
ENSG00000153187	HNRNPU	31558468	TRUE	FALSE	Confirmed by multiple studies	BL	6.4	8.9	18	17.8
ENSG00000122986	HVCN1	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	2	NA	NA
ENSG00000117318	ID3	23143595	TRUE	FALSE	Confirmed by multiple studies	BL	47	31.7	33	32.7
ENSG00000254709	IGLL5	NA	FALSE	TRUE	aSHM target genes have elevated mutation rate but the mutations may not represent drivers. More evidence is needed.	DLBCL	25	23.8	27	26.7
ENSG00000161405	IKZF3	31558468	FALSE	FALSE	Mutation frequencies are inconsistent between studies. Nominating study is an outlier.	NA	0.8	3	5	5
ENSG00000140968	IRF8	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.3	6.9	7	6.9
ENSG00000100433	KCNK10	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.8	1	NA	NA
ENSG00000172578	KLHL6	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	3	6.9	NA	NA
ENSG00000167548	KMT2D	30617194	TRUE	FALSE	Mutated at high frequency in both DLBCL and BL	DLBCL	14	15.8	13	12.9
ENSG00000196233	C10orf12	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	NA	NA	NA
ENSG00000227507	LTB	NA	FALSE	TRUE	Borderline evidence to consider this also a BL gene	DLBCL	3	5.9	NA	NA
ENSG00000143384	MCL1	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	2.1	2	4	4
ENSG00000213999	MEF2B	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	3	NA	NA
ENSG00000196549	MME	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.8	5.9	2	2
ENSG00000198793	MTOR	31558468	FALSE	FALSE	Mutation frequencies are inconsistent between studies. Nominating study is an outlier.	NA	3.4	10.9	5	5
ENSG00000136997	MYC	TBD	TRUE	TRUE	Hot spots from aSHM can affect MYC protein stability	BL	60.2	49.5	64	63.4
ENSG00000172936	MYD88	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.4	1	NA	NA
ENSG00000157483	MYO1E	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.3	4	NA	NA
ENSG00000100906	NFKBIA	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.7	2	NA	NA
ENSG00000134250	NOTCH2	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	5	NA	NA
ENSG00000144645	OSBPL10	NA	FALSE	TRUE	aSHM target genes have elevated mutation rate but the mutations may not represent drivers. More evidence is needed.	DLBCL	2.1	3	NA	NA
ENSG00000182162	P2RY8	25274307	TRUE	FALSE	Mutated at high frequency in both DLBCL and BL	BL	11	NA	NA	NA
ENSG00000254535	PABPC4L	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	1.3	3	1	1
ENSG00000169564	PCBP1	26173642	TRUE	FALSE	Confirmed by multiple studies	BL	12.3	11.9	5	5
ENSG00000249158	PCDHA11	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	1.3	3	4	4
ENSG00000121440	PDZRN3	31558468	FALSE	FALSE	Mutation frequencies are inconsistent between studies. Nominating study is an outlier.	NA	2.1	9.9	4	4
ENSG00000156531	PHF6	36201743	TRUE	FALSE	Recently identified. Ideally this should be confirmed in more cohorts.	BL	5.5	5.9	NA	NA
ENSG00000145675	PIK3R1	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	2.5	4	1	1
ENSG00000197943	PLCG2	31558468	FALSE	FALSE	Mutation frequencies are inconsistent between studies. Nominating study is an outlier.	NA	0.8	10.9	3	3
ENSG00000141682	PMAIP1	NA	FALSE	FALSE	Low frequency in initial study. Awaiting confirmation from additional cohorts	BL	3	5	NA	NA
ENSG00000057657	PRDM1	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	5.9	NA	NA
ENSG00000163932	PRKCD	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.3	5.9	NA	NA
ENSG00000171862	PTEN	TBD	TRUE	FALSE	Confirmed by multiple studies	BL	4.7	4	6	5.9
ENSG00000147485	PXDNL	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	3	9.9	2	2
ENSG00000128340	RAC2	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	DLBCL	0.4	NA	NA	NA
ENSG00000181827	RFX7	TBD	TRUE	FALSE	Confirmed by multiple studies	BL	9.3	4	4	4
ENSG00000067560	RHOA	TBD	TRUE	FALSE	Confirmed by multiple studies	BL	8.1	12.9	9	8.9
ENSG00000137393	RNF144B	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.4	NA	NA	NA
ENSG00000116251	RPL22	NA	FALSE	FALSE	Low frequency in initial study. Awaiting confirmation from additional cohorts	BL	3	2	NA	NA
ENSG00000267534	S1PR2	25274307	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	4	1	1
ENSG00000186522	SEPT10	NA	FALSE	FALSE	Low frequency in initial study. Awaiting confirmation from additional cohorts	BL	2.1	2	NA	NA
ENSG00000118515	SGK1	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	2.5	4	NA	NA
ENSG00000169375	SIN3A	30617194	TRUE	FALSE	Confirmed by multiple studies	BL	10.6	14.9	12	11.9
ENSG00000127616	SMARCA4	23143597	TRUE	FALSE	Confirmed by multiple studies	BL	17.8	18.8	20	19.8
ENSG00000168807	SNTB2	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0	2	NA	NA
ENSG00000185338	SOCS1	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.7	3	NA	NA
ENSG00000172845	SP3	31558468	FALSE	FALSE	Low frequency in initial study. Awaiting confirmation from additional cohorts	BL	2.5	5	NA	NA
ENSG00000168610	STAT3	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	1	NA	NA
ENSG00000166888	STAT6	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.7	2	NA	NA
ENSG00000135316	SYNCRIP	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study	BL	2.5	5	NA	NA
ENSG00000177565	TBL1XR1	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	4.7	7.9	NA	NA
ENSG00000071564	TCF3	22885699	TRUE	FALSE	Confirmed by multiple studies	BL	11	9.9	5	5
ENSG00000100721	TCL1A	30617194	FALSE	TRUE	aSHM target genes have elevated mutation rate but the mutations may not represent drivers. More evidence is needed.	BL	5.9	4	5	5
ENSG00000168769	TET2	31558468	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	5.1	10.9	NA	NA
ENSG00000090447	TFAP4	30617194	TRUE	FALSE	Confirmed by multiple studies	BL	10.6	9.9	12	11.9
ENSG00000112697	TMEM30A	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	1.3	5	NA	NA
ENSG00000205542	TMSB4X	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	2	1	1
ENSG00000118503	TNFAIP3	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	2	NA	NA
ENSG00000157873	TNFRSF14	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	3	NA	NA
ENSG00000198846	TOX	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0.8	5.9	NA	NA
ENSG00000141510	TP53	NA	TRUE	FALSE	Confirmed by multiple studies	BL	41.9	43.6	5	5
ENSG00000077721	UBE2A	NA	FALSE	FALSE	DLBCL gene with extremely low mutation rate in BL	DLBCL	0	3	NA	NA
ENSG00000187555	USP7	TBD	TRUE	FALSE	Confirmed by multiple studies	BL	6.8	5.9	6	5.9
ENSG00000091157	WDR7	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.4	6.9	2	2
ENSG00000060237	WNK1	36201743	TRUE	FALSE	Confirmed by multiple studies	BL	6.8	11.9	NA	NA
ENSG00000165238	WNK2	31558468	FALSE	FALSE	Low frequency of coding mutations in all cohorts including initial study after reanalysis of raw data. Mutations in this gene reported by Panea et al were not well supported by the data in that study.	NA	0.8	10.9	4	4
ENSG00000185650	ZFP36L1	NA	FALSE	TRUE	DLBCL gene with extremely low mutation rate in BL	DLBCL	2.1	3	3	3
